line number,directive?,text
41,1, Okay I I have a question but I think I have to wait until I actually try it Keep drinking I have like tons of it. Is like with the cape Using it as a surprise? Um depends on if like You can s- you surprise when someone doesn't see you Small Basically Yeah So if you use it to go right behind someone and attack them they sh- will be surprised as long as they Dragon guard You can't like tell [noise] Maybe you could teleport behind them and gain s-  [noise] Surprise that way but usually when some like surprise usually happens when someone's not expecting to fight. Yeah If they're if they're geared up for a fight they have their weapons drawn You can't surprise them anymore at that point. Okay but it's would it be considered a sneak attack cuz they don't know that I'm where I am Yeah But if It's not a surprise but a sneak Yes I would give that a I would give that a sneak attack because They don't see you if you go right behind them.
42,0,45] into the design. Actually it's t- like the Just a bit lower but. The uh the one D eight will swing more up and down It was created for a hero of Neverwinter named Tergon. Yep yep The one D six will be tighter on the average. Grants the wearer Yeah yeah.
43,0, swing more up and down It was created for a hero of Neverwinter named Tergon. Yep yep The one D six will be tighter on the average. Grants the wearer Yeah yeah. But um so it's a bit more Advantage on saving throws against the breath More consistent but the Weapons of creatures of the dragon type.
44,0, Mhm You might be able to like might be able to get dark vision somehow? I just don't know h- yeah Ye- maybe I dunno It's uh it's it's it's like [laughs] It's funny that they they set it up this way but a halfling It's it's like set up for the halfling to be the rogue but the halfling is one of the Three races that don't have dark vision. Yeah Um which means it's a it's a limitation that your Character will have to work around and [laughs] [inaudible 1:46:59.71] Kara [laughs] Don't do it. What time is it?
45,0, It's helpful for undead for sure. Before we go Thunder Tree. Yeah Also Oh and you will be fa- if you go to Thunder Tree You know that there's zombies there already or [inaudible 1:48:32.62] I mean That's what I was thinking that th- we were told there's tons of like undead there. Oh right Undead?
46,1,62] I mean That's what I was thinking that th- we were told there's tons of like undead there. Oh right Undead? And I was thinking too um We should see if Joany can connect us So the mace will smash those guys. Yep. We want Joany on our side cuz we want her to connect us in uh Yeah Neverwinter with some healing potions.
47,0, Uh Two packs. Should we start cooking the bacon now? And then that will be for seven people. Two packs of bacon. That's Arjie?
48,0, Am I putting anything with the chicken to turn on It's like a little Uh no just cook the chicken on its own for a bit. [noise] And then and then the bacon later? Uh yeah the bacon will be after a bit because the chicken needs longer to cook than the bacon. Put that on medium heat? What's medium?
49,0, No No Yeah uh Like ice cream for that time Um. In any event Like So people showed up Well Which is like. A lot if you think of it Yeah considering people will create Uber accounts just to get the ice cream. Yeah so So. So was it that Yeah.
50,0, [laughs] Now they have to transcribe [laughs] [laughs] [laughs] [laughs] Evil. Yo Yeah right? [laughs] Sea shells sea shores down by the We will be Tongue twisters. Let's see. Wait How much wood could a woodchuck chuck if a woodchuck could chuck wood?
51,1, Oh it's right there. Oh I thought it was over here Yep. What we'll do is that everything will go into two pots Okay yeah. Yeah it's just too much right now. [noise] Where is my wine?
52,0, [noise] Gimme some more of that cheese. It's not thick enough But it's cuz it's really hot. I- i- i- it will cool down. I think a little bit more cheese would be appreciated though. [laughs] Mhm.
53,1, Pesto pesto pesto oh Do you guys know when you have a really hot pan and you have expensive pans you don't wanna put it in the water right away? Get some. Why Because it will warp the pan. Why? Mmm.
54,1, Huh? Yeah go for it. Dude you need to grab a second one and go like this Yeah I will Uh actually yeah um Here. Thanks dude Okay. Don't worry about it.
55,1, Here guys Yeah Cuz like there's Cuz there's really not that much um Can you hold this one please? Um Are you having beer? I will There's one right here. They're going to run. Cheers.
56,0, Hmm. It's just like a halfway home from like the mentally disturbed? No you know how some people will never live on their own? Mhm. Yeah.
57,1, [noise] Yeah This coop [inaudible 1:05:40.53] said Will I get paid sixteen forty two? I will get paid. I'd be paying you to work. [noise] I need more.
58,1, What? Now he knows his A B C's. [laughs] Next time will you sing with me? Everything we say they have to type. [laughs] [laughs] And then they have to type that.
59,0, I would Like Mm. Then you're a new soul. The older souls will like be like Yeah. Like I don't wanna do it again. Mhm.
60,1, Yeah You have a fork? Yeah I feel like even at that These flowers are so cute [laughs] Mm. [laughs] Other Sarah will totally put out. Well [laughs] [inaudible 1:04:53.94] Those are really Yeah.
61,0, Whoops. uh Mind you That's that's kinda cool. I will take some. Do you want this I'll have some in a bit [noise] Oh Uh oh [laughs] [laughs] Maybe it's open. No I can't remember.
62,0, You need that for the handies? [laughs] Oh There you go. Z- Zach will be happy. [laughs] Oh. Thank you.
63,0, Oh. How did she propose? How will she propose? No No She tied me up and [inaudible 1:39:33.16] [laughs] Yeah.
64,0, I have no idea. I'm not gonna say a thing. I know Maybe he will Yeah But Oh. I wonder how. Why is that?
65,0, Mhm. Mhm. The sc- the professor there at SFU is the most amazing teacher you will have. Mhm. Ooh.
66,0, Mhm. [noise] You will. It will t- it will teach how to understand. You will learn how to understand because that's the only way for you to pass. Mhm.
67,0, teach how to understand. You will learn how to understand because that's the only way for you to pass. Mhm. Oh Yeah And the thing is is like Mm.
68,0, So Mhm. I'm not good at it. You will So my friend Mm. Yeah. Oh Her mom passed away and I went back to spend a week with her and Mhm.
69,0, Okay. Uh [laughs] You're welcome. It will be great. [laughs] It'll be delicious. And if not [laughs] Yeah [laughs] [laughs] That's why Preheat oven to three hundred and seventy five degrees.
70,0, Figuring things out. [laughs] Okay So she I might have seen that I dropped egg in my toes. [laughs] It will be okay. I'm a messy Oh thanks. [laughs] [inaudible 0:05:07.
71,0, Don't those Cheetos taste like baseball nachos? Baseball nachos? Yeah Abhi Oh yeah I want th- cuz this will be too hot to eat right away. Okay. Okay.
72,0, [noise] Pretty good. But [noise] Oh yeah. It's I think it will be different. The smoke is crazy right now It's never like this. For me It What are you That's The fires?
73,0, Maybe washing the uh Just my left wrist. Washing the mushrooms and the pepper? Awesome And then I will give you another cutting board. Is that okay? Omelettes are delicious Pepperoni doesn't need to be cut up Mm [inaudible 0:03:46.
74,0, Fan? I don't think we can put the fan on. It will be too loud in here Okay. Yeah. It's quite loud.
75,0, [laughs] [noise] Yeah. Glad I missed the super dogs this year. I will always go as long as as it is there. But it's not there. Oh Remember when there used to be more of like the actual fall fair kind of aspect to it?
76,0, [laughs] Your your terrier would be very happy. Natalie The problem is is that the fair you'd have families go with small children saying I understand. Or and also like Just left it left a chi- it left a childhood dream because I always thought maybe this year I will get a chicken and it never happened. It's not a kitten Yeah. [noise] [laughs] Yeah I mean On one hand I really enjoyed the fair The park is nice that they built.
77,0, I think they're cold enough now. [inaudible 0:27:18.31] I'm curious what you think of the buttery onions I I I'm actu- I'm curious to see if it will be any different Mhm. Cuz onions are a fairly strong flavor. Mm.
78,1, Oh [laughs] I think you're putting them away You can put them away in your face. That is acceptable. I will help. Are we good with the feta? It must have paprika in it to be this color.
79,0, Huh. And there's a really good sushi place. So maybe there is an advantage for me of not Well I believe it will be for you Well Exactly. Yeah Mhm. [laughs] No But when Yeah.
80,1, [noise] Thanks Mhm. Mkay Okay. So I will need one person to hold the plastic and one We don't just wanna go direct to plates? Or are they too big for the plates? They're too big for the plates.
81,1, [noise] They I feel like it was I know I know but How is a pizza wheel shaped like the Enterprise? It's [inaudible 0:49:11.70] Um Okay I will show you what you're Do do you know what the Enterprise is? It's a space thingy for TV. Yes It's a s- sh- spaceship.
82,1, [laughs] I do have ice tea that's been in my fridge I brewed like a week ago. I'm like [laughs] Give it a whirl Uh Well But it's more fun if you put it through there. I will put it through there. That's why it's there [laughs] There's so few homes that have those. Yay!
83,1, Mhm. [noise] No. [noise] I probably will eat the whole pizza. Mhm. Baggies will be provided for anyone who wishes to take a pizza home and not eat it all.
84,0, eat the whole pizza. Mhm. Baggies will be provided for anyone who wishes to take a pizza home and not eat it all. [noise] No We're giving away baggies? [laughs] [noise] I only want a baggie if it's shaped like a doggy because they're called doggy baggies There is your Kickstarter idea.
85,1, With even better caramel sauce. We can make them. Yeah And like whatever other toppings you want and we will sit here and we'll stuff our faces and it will be glorious. Okay Am I am I am I your friend again? Mhm.
86,0, Now Yeah. Like. But you know how families will sometimes have that one person who sort of takes the family tradition and just Yes. Hi Nice to meet you. Mhm I don't know what the weirdest thing I've eaten for breakfast is.
87,0, Or even just assessed. Yeah Yeah It's like once like I just before had mild wrist soreness where it would be okay Yeah My hand doesn't work Like Like Yeah Yeah No Mm- mm. Be like Take away my crafts That's just I will just die. You just you're gonna. No Yeah Robot arms.
88,0,28] Yeah. It's glorious. Yeah Fill up the the bath will get You take a shower first Like And it would be lobster hot. Um Ah. [noise] Mhm.
89,1, I wonder if it Like it not [inaudible 1:50:19.04] I don't know. Why don't you look up the the I will let you know. Hm. Oh Yeah [laughs] I really wish I could mix that myself so I'd be closer to smell that.
90,0, He he definitely could recognize his name. He- well Cute. He he was clearly the only indication of intelligence was he figured out I can just wander around and be cute and people will pet me and love me. [laughs] [noise] I've got it made. Perfect.
91,0, Yeah. Don't watch it if you like Benedict. It will make you not like Benedict. I don't like superhero movies Yeah It it was it He w- he was not a likeable character in it. What about him as the voice of a penguin?
92,1, Yeah yeah [inaudible 0:07:36.21] Cuz c- can't compost can actually like start fires Um Disgusting that's Yeah Um I think it's just it's just Mine really just turns into a disgusting pool of grossness Yeah I mean like leftovers in the fridge are not going to start rotting in a week Yeah I don't build up that much vegetable debris We we have the advantage of living together Yeah the [inaudible 0:08:12.11] Yeah That also helps Because And somebody else will take care of everything [inaudible 0:08:14.70] the compost Yeah A lot more easily I think it's just me because I I never had that problem even when I was living by myself cuz I get so much I need to get a smaller compost container Yeah When you're by yourself and they give you that big city sized one Yeah Yes Natty um I just have like a Is this for like veggie sticks? Yeah My freezer is [inaudible 0:08:42.
93,0,17] some more wrap Mm sure. Or just throw as many [inaudible 0:10:08.91] will fit in that zip-lock [inaudible 0:10:10.82] You can all be friends. It's the cheese bag Cheese bag.
94,0,82] You can all be friends. It's the cheese bag Cheese bag. Mkay Sometimes you forget what cheese is in their probably and then you're just surprised when you eat it [laughs] Well and if you leave the cheese in there long enough then eventually it will all just become one cheese That's true. [laughs] Cheese goes pretty fast in this house Mhm Most of your dairy is consumed by cheese Pretty much. Yeah.
95,1, Mm Anybody wants anything to drink there's a pitcher of cold water in the fridge and some cold tea. [inaudible 00:20:26.62] Mmm tea I will take a glass please. Or a mug [laughs] Or mug I don't actually have glasses I have mugs Oh A mug of tea So wine in a mug too? Well I have wine glasses.
96,1, The the trait is the the variety cuz like [noise] All the variety You would know of course yes [noise] Which ones but We've had some apples from his parents' farm from last year Mm [noise] Well and there's some apples that like Well you can't eat crab apples fresh Crab apples are And there are some They're they're [inaudible 00:22:04.42] I ate them cuz I like them. Yeah when I my family goes to like Reifel Island Bird Sanctuary they have crab apples trees around and I will just eat one and I'm like Mhm Sour but it's great! I'll bring you some next time we go [laughs] Um There are some varieties that they leave on until it freezes and they call them transparent apples. Right Oh Freaky Mhm Yeah They're not like Yeah Cool They leave them just until the first frost and then they get sweet Yeah Yeah That's hilarious Mm Mm Well I know a couple of our friends are going to be going to the apple festival and I just kind of commented on that on Facebook li I'm coming!
97,0, Hiyah! Looks good to me! Another plate [noise] So this will be Matthew's! [inaudible 00:27:26.22] And this is light on the butter enough for you I always get mine burnt cuz I don't put much butter on That's the way I like it.
98,0, Wow. Um [noise] [noise] Mhm. It's amazing how far someone will travel [noise] for a baked good. [noise] Yeah. [noise] [noise] I well [noise] Mhm.
99,0, I end up going and getting fancy juice or something. Heard it from me. [noise] If they ever build a staircase or the elevator from the bridge I will go a lot more often. That's true. Oh god.
100,0, fill up table. Yeah. Um [noise] Yeah when they will buy the big platters come back be like Yeah. That's gonna be the thing Yeah. Well that's kinda what happened with this one order.
,33,
